base,ligand,aryl_halide,additive
P2Et,XPhos,1-bromo-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,1-ethyl-4-iodobenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,2-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,2-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,2-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,3-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,3-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,3-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,None,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,1-chloro-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,1-bromo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,1-iodo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,1-chloro-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,1-bromo-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,1-ethyl-4-iodobenzene,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,2-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,2-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,2-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,3-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,3-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,3-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate
BTMG,XPhos,None,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,1-chloro-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,1-bromo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,1-iodo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,1-chloro-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,1-bromo-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,1-ethyl-4-iodobenzene,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,2-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,2-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,2-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,3-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,3-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,3-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate
MTBD,XPhos,None,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,None
P2Et,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,None
P2Et,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,None
P2Et,t-BuXPhos,1-chloro-4-methoxybenzene,None
P2Et,t-BuXPhos,1-bromo-4-methoxybenzene,None
P2Et,t-BuXPhos,1-iodo-4-methoxybenzene,None
P2Et,t-BuXPhos,1-chloro-4-ethylbenzene,None
P2Et,t-BuXPhos,1-bromo-4-ethylbenzene,None
P2Et,t-BuXPhos,1-ethyl-4-iodobenzene,None
P2Et,t-BuXPhos,2-chloropyridine,None
P2Et,t-BuXPhos,2-bromopyridine,None
P2Et,t-BuXPhos,2-iodopyridine,None
P2Et,t-BuXPhos,3-chloropyridine,None
P2Et,t-BuXPhos,3-bromopyridine,None
P2Et,t-BuXPhos,3-iodopyridine,None
P2Et,t-BuXPhos,None,None
BTMG,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,None
BTMG,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,None
BTMG,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,None
BTMG,t-BuXPhos,1-chloro-4-methoxybenzene,None
BTMG,t-BuXPhos,1-bromo-4-methoxybenzene,None
BTMG,t-BuXPhos,1-iodo-4-methoxybenzene,None
BTMG,t-BuXPhos,1-chloro-4-ethylbenzene,None
BTMG,t-BuXPhos,1-bromo-4-ethylbenzene,None
BTMG,t-BuXPhos,1-ethyl-4-iodobenzene,None
BTMG,t-BuXPhos,2-chloropyridine,None
BTMG,t-BuXPhos,2-bromopyridine,None
BTMG,t-BuXPhos,2-iodopyridine,None
BTMG,t-BuXPhos,3-chloropyridine,None
BTMG,t-BuXPhos,3-bromopyridine,None
BTMG,t-BuXPhos,3-iodopyridine,None
BTMG,t-BuXPhos,None,None
MTBD,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,None
MTBD,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,None
MTBD,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,None
MTBD,t-BuXPhos,1-chloro-4-methoxybenzene,None
MTBD,t-BuXPhos,1-bromo-4-methoxybenzene,None
MTBD,t-BuXPhos,1-iodo-4-methoxybenzene,None
MTBD,t-BuXPhos,1-chloro-4-ethylbenzene,None
MTBD,t-BuXPhos,1-bromo-4-ethylbenzene,None
MTBD,t-BuXPhos,1-ethyl-4-iodobenzene,None
MTBD,t-BuXPhos,2-chloropyridine,None
MTBD,t-BuXPhos,2-bromopyridine,None
MTBD,t-BuXPhos,2-iodopyridine,None
MTBD,t-BuXPhos,3-chloropyridine,None
MTBD,t-BuXPhos,3-bromopyridine,None
MTBD,t-BuXPhos,3-iodopyridine,None
MTBD,t-BuXPhos,None,None
P2Et,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole
P2Et,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole
P2Et,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole
P2Et,t-BuXPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole
P2Et,t-BuXPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole
P2Et,t-BuXPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole
P2Et,t-BuXPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole
P2Et,t-BuXPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole
P2Et,t-BuXPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole
P2Et,t-BuXPhos,2-chloropyridine,5-phenylisoxazole
P2Et,t-BuXPhos,2-bromopyridine,5-phenylisoxazole
P2Et,t-BuXPhos,2-iodopyridine,5-phenylisoxazole
P2Et,t-BuXPhos,3-chloropyridine,5-phenylisoxazole
P2Et,t-BuXPhos,3-bromopyridine,5-phenylisoxazole
P2Et,t-BuXPhos,3-iodopyridine,5-phenylisoxazole
P2Et,t-BuXPhos,None,5-phenylisoxazole
BTMG,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole
BTMG,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole
BTMG,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole
BTMG,t-BuXPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole
BTMG,t-BuXPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole
BTMG,t-BuXPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole
BTMG,t-BuXPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole
BTMG,t-BuXPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole
BTMG,t-BuXPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole
BTMG,t-BuXPhos,2-chloropyridine,5-phenylisoxazole
BTMG,t-BuXPhos,2-bromopyridine,5-phenylisoxazole
BTMG,t-BuXPhos,2-iodopyridine,5-phenylisoxazole
BTMG,t-BuXPhos,3-chloropyridine,5-phenylisoxazole
BTMG,t-BuXPhos,3-bromopyridine,5-phenylisoxazole
BTMG,t-BuXPhos,3-iodopyridine,5-phenylisoxazole
BTMG,t-BuXPhos,None,5-phenylisoxazole
MTBD,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole
MTBD,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole
MTBD,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole
MTBD,t-BuXPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole
MTBD,t-BuXPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole
MTBD,t-BuXPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole
MTBD,t-BuXPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole
MTBD,t-BuXPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole
MTBD,t-BuXPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole
MTBD,t-BuXPhos,2-chloropyridine,5-phenylisoxazole
MTBD,t-BuXPhos,2-bromopyridine,5-phenylisoxazole
MTBD,t-BuXPhos,2-iodopyridine,5-phenylisoxazole
MTBD,t-BuXPhos,3-chloropyridine,5-phenylisoxazole
MTBD,t-BuXPhos,3-bromopyridine,5-phenylisoxazole
MTBD,t-BuXPhos,3-iodopyridine,5-phenylisoxazole
MTBD,t-BuXPhos,None,5-phenylisoxazole
P2Et,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,2-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,3-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,3-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,3-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,None,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,2-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,3-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,3-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,3-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,t-BuXPhos,None,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,2-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,3-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,3-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,3-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,t-BuXPhos,None,ethyl-3-methylisoxazole-5-carboxylate
P2Et,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,1-chloro-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,1-bromo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,1-iodo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,1-chloro-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,1-bromo-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,1-ethyl-4-iodobenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,2-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,2-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,2-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,3-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,3-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,3-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate
P2Et,t-BuXPhos,None,ethyl-5-methylisoxazole-3-carboxylate
BTMG,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
