base,ligand,aryl_halide,additive,yield
MTBD,XPhos,1-chloro-4-methoxybenzene,None,1.534950141
MTBD,XPhos,1-bromo-4-methoxybenzene,None,11.11065538
MTBD,XPhos,1-iodo-4-methoxybenzene,None,27.55018583
MTBD,XPhos,1-chloro-4-ethylbenzene,None,7.170837692999999
MTBD,XPhos,1-bromo-4-ethylbenzene,None,30.19903029
MTBD,XPhos,1-ethyl-4-iodobenzene,None,66.74950767
MTBD,XPhos,2-chloropyridine,None,29.58712422
MTBD,XPhos,2-bromopyridine,None,54.89834317
MTBD,XPhos,2-iodopyridine,None,67.3026444
MTBD,XPhos,3-chloropyridine,None,13.51744578
MTBD,XPhos,3-bromopyridine,None,33.44897797
MTBD,XPhos,3-iodopyridine,None,50.16438472
MTBD,XPhos,None,None,0.0
P2Et,XPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole,10.65781182
P2Et,XPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole,14.7478961
P2Et,XPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole,18.27868619
P2Et,XPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole,2.475057616
P2Et,XPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole,6.119058475
P2Et,XPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole,5.449924218
P2Et,XPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole,7.802080337
P2Et,XPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole,14.23417841
P2Et,XPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole,15.41389344
P2Et,XPhos,2-chloropyridine,5-phenylisoxazole,9.46569581
P2Et,XPhos,2-bromopyridine,5-phenylisoxazole,15.23875818
P2Et,XPhos,2-iodopyridine,5-phenylisoxazole,19.59428889
P2Et,XPhos,3-chloropyridine,5-phenylisoxazole,7.787908452000001
P2Et,XPhos,3-bromopyridine,5-phenylisoxazole,9.677591971
P2Et,XPhos,3-iodopyridine,5-phenylisoxazole,13.17521743
P2Et,XPhos,None,5-phenylisoxazole,0.0
BTMG,XPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole,14.01864146
BTMG,XPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole,30.591261699999997
BTMG,XPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole,38.15573638
BTMG,XPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole,0.456472494
BTMG,XPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole,3.867385769
BTMG,XPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole,7.024622197
BTMG,XPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole,2.84616447
BTMG,XPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole,18.8690087
BTMG,XPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole,25.0736586
BTMG,XPhos,2-chloropyridine,5-phenylisoxazole,21.66658644
BTMG,XPhos,2-bromopyridine,5-phenylisoxazole,48.48749388
BTMG,XPhos,2-iodopyridine,5-phenylisoxazole,58.61075678
BTMG,XPhos,3-chloropyridine,5-phenylisoxazole,4.169292721000001
BTMG,XPhos,3-bromopyridine,5-phenylisoxazole,11.38334579
BTMG,XPhos,3-iodopyridine,5-phenylisoxazole,24.41818234
BTMG,XPhos,None,5-phenylisoxazole,0.0
MTBD,XPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole,14.96739578
MTBD,XPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole,30.28625472
MTBD,XPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole,39.57783871
MTBD,XPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole,0.339837285
MTBD,XPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole,3.12306153
MTBD,XPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole,5.140109821
MTBD,XPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole,3.920306162
MTBD,XPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole,15.39753007
MTBD,XPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole,22.45064906
MTBD,XPhos,2-chloropyridine,5-phenylisoxazole,23.68617418
MTBD,XPhos,2-bromopyridine,5-phenylisoxazole,42.69485888
MTBD,XPhos,2-iodopyridine,5-phenylisoxazole,54.83360857
MTBD,XPhos,3-chloropyridine,5-phenylisoxazole,6.351542297000001
MTBD,XPhos,3-bromopyridine,5-phenylisoxazole,14.16472216
MTBD,XPhos,3-iodopyridine,5-phenylisoxazole,17.378304
MTBD,XPhos,None,5-phenylisoxazole,0.0
P2Et,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,3.606676847
P2Et,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,35.07866175
P2Et,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,43.31814591
P2Et,XPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,0.0
P2Et,XPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,29.29817829
P2Et,XPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,37.56535564
P2Et,XPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate,0.960810012
P2Et,XPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate,59.0196812
P2Et,XPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate,70.96873006
P2Et,XPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate,35.13952712
P2Et,XPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate,37.65445791
P2Et,XPhos,2-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate,51.10248957
P2Et,XPhos,3-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate,3.963450153
P2Et,XPhos,3-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate,31.93031022
P2Et,XPhos,3-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate,48.70823186
P2Et,XPhos,None,ethyl-3-methylisoxazole-5-carboxylate,0.0
BTMG,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,5.008760546
BTMG,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,35.08872433
BTMG,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,41.2456065
BTMG,XPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,0.0
BTMG,XPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,13.9769471
BTMG,XPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,18.89524916
BTMG,XPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate,0.705195152
BTMG,XPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate,32.63234102
BTMG,XPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate,31.81837229
BTMG,XPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate,30.4254394
BTMG,XPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate,53.63578043
BTMG,XPhos,2-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate,59.4767437
BTMG,XPhos,3-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate,2.014671714
BTMG,XPhos,3-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate,26.51352578
BTMG,XPhos,3-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate,36.85037948
BTMG,XPhos,None,ethyl-3-methylisoxazole-5-carboxylate,0.0
MTBD,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,4.820162197
MTBD,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,34.80628557
MTBD,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,46.63249784
MTBD,XPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,0.0
MTBD,XPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,11.74218494
MTBD,XPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,26.65189435
MTBD,XPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate,0.5468298979999999
MTBD,XPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate,35.87055638
MTBD,XPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate,68.84449525
MTBD,XPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate,33.8754215
MTBD,XPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate,63.0697188
MTBD,XPhos,2-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate,70.62989218
MTBD,XPhos,3-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate,2.481415648
MTBD,XPhos,3-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate,31.6780045
MTBD,XPhos,3-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate,46.01420049
MTBD,XPhos,None,ethyl-3-methylisoxazole-5-carboxylate,0.0
P2Et,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate,22.16644806
P2Et,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate,23.21156884
P2Et,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate,34.74876407
P2Et,XPhos,1-chloro-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate,0.948128865
P2Et,XPhos,1-bromo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate,16.64966496
P2Et,XPhos,1-iodo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate,19.99982627
P2Et,XPhos,1-chloro-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate,4.9923792360000006
P2Et,XPhos,1-bromo-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate,53.99699311
P2Et,XPhos,1-ethyl-4-iodobenzene,ethyl-5-methylisoxazole-3-carboxylate,57.37548977
P2Et,XPhos,2-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate,22.61165831
P2Et,XPhos,2-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate,28.75149591
P2Et,XPhos,2-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate,26.98890626
P2Et,XPhos,3-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate,20.85782482
P2Et,XPhos,3-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate,20.73475671
P2Et,XPhos,3-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate,30.87112941
P2Et,XPhos,None,ethyl-5-methylisoxazole-3-carboxylate,0.0
BTMG,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate,20.36096013
BTMG,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate,38.91690391
BTMG,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate,41.70005044
BTMG,XPhos,1-chloro-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate,0.940121626
BTMG,XPhos,1-bromo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate,14.90450687
BTMG,XPhos,1-iodo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate,19.596159
BTMG,XPhos,1-chloro-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate,4.179760101
BTMG,XPhos,1-bromo-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate,39.00815943
BTMG,XPhos,1-ethyl-4-iodobenzene,ethyl-5-methylisoxazole-3-carboxylate,37.1696242
BTMG,XPhos,2-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate,31.61725517
BTMG,XPhos,2-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate,51.21654271
BTMG,XPhos,2-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate,57.55128922
BTMG,XPhos,3-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate,16.17382734
BTMG,XPhos,3-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate,26.58751317
BTMG,XPhos,3-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate,40.41327646
BTMG,XPhos,None,ethyl-5-methylisoxazole-3-carboxylate,0.0
MTBD,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate,16.96531636
MTBD,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate,34.37725511
MTBD,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate,43.5835106
MTBD,XPhos,1-chloro-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate,0.828206999
MTBD,XPhos,1-bromo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate,13.33632103
MTBD,XPhos,1-iodo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate,26.96354436
MTBD,XPhos,1-chloro-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate,4.206951598
MTBD,XPhos,1-bromo-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate,39.80435813
MTBD,XPhos,1-ethyl-4-iodobenzene,ethyl-5-methylisoxazole-3-carboxylate,66.76359549
MTBD,XPhos,2-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate,38.14302674
MTBD,XPhos,2-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate,56.51667394
MTBD,XPhos,2-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate,67.97172842
MTBD,XPhos,3-chloropyridine,ethyl-5-methylisoxazole-3-carboxylate,13.29271578
MTBD,XPhos,3-bromopyridine,ethyl-5-methylisoxazole-3-carboxylate,32.5166032
MTBD,XPhos,3-iodopyridine,ethyl-5-methylisoxazole-3-carboxylate,47.33481015
MTBD,XPhos,None,ethyl-5-methylisoxazole-3-carboxylate,0.0
P2Et,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,None,43.24687429
P2Et,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,None,47.07201706
P2Et,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,None,46.67923287
P2Et,t-BuXPhos,1-chloro-4-methoxybenzene,None,1.4778330169999998
P2Et,t-BuXPhos,1-bromo-4-methoxybenzene,None,52.01663098
P2Et,t-BuXPhos,1-iodo-4-methoxybenzene,None,49.5332891
P2Et,t-BuXPhos,1-chloro-4-ethylbenzene,None,15.23801636
P2Et,t-BuXPhos,1-bromo-4-ethylbenzene,None,76.0080606
P2Et,t-BuXPhos,1-ethyl-4-iodobenzene,None,63.58868193
P2Et,t-BuXPhos,2-chloropyridine,None,56.11678026
P2Et,t-BuXPhos,2-bromopyridine,None,74.02586359
P2Et,t-BuXPhos,2-iodopyridine,None,72.10640605
P2Et,t-BuXPhos,3-chloropyridine,None,60.16915393
P2Et,t-BuXPhos,3-bromopyridine,None,76.23980932
P2Et,t-BuXPhos,3-iodopyridine,None,73.24593194
P2Et,t-BuXPhos,None,None,0.0
BTMG,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,None,33.75312128
BTMG,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,None,43.98434681
BTMG,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,None,45.01345928
BTMG,t-BuXPhos,1-chloro-4-methoxybenzene,None,1.1411826859999998
BTMG,t-BuXPhos,1-bromo-4-methoxybenzene,None,45.26243148
BTMG,t-BuXPhos,1-iodo-4-methoxybenzene,None,48.87745577
BTMG,t-BuXPhos,1-chloro-4-ethylbenzene,None,5.1621109
BTMG,t-BuXPhos,1-bromo-4-ethylbenzene,None,70.20039276
BTMG,t-BuXPhos,1-ethyl-4-iodobenzene,None,76.21778678
BTMG,t-BuXPhos,2-chloropyridine,None,68.57268466
BTMG,t-BuXPhos,2-bromopyridine,None,82.68657767
BTMG,t-BuXPhos,2-iodopyridine,None,81.20984491
BTMG,t-BuXPhos,3-chloropyridine,None,45.5729521
BTMG,t-BuXPhos,3-bromopyridine,None,80.41522119
BTMG,t-BuXPhos,3-iodopyridine,None,87.27732283
BTMG,t-BuXPhos,None,None,0.0
MTBD,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,None,46.27953078
MTBD,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,None,50.46562134
MTBD,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,None,51.209226
MTBD,t-BuXPhos,1-chloro-4-methoxybenzene,None,1.5078599730000002
MTBD,t-BuXPhos,1-bromo-4-methoxybenzene,None,54.82010788
MTBD,t-BuXPhos,1-iodo-4-methoxybenzene,None,55.70113322
MTBD,t-BuXPhos,1-chloro-4-ethylbenzene,None,5.9379251029999995
MTBD,t-BuXPhos,1-bromo-4-ethylbenzene,None,83.76110277
MTBD,t-BuXPhos,1-ethyl-4-iodobenzene,None,78.83510746
MTBD,t-BuXPhos,2-chloropyridine,None,80.94739685
MTBD,t-BuXPhos,2-bromopyridine,None,94.39775173
MTBD,t-BuXPhos,2-iodopyridine,None,95.42335131
MTBD,t-BuXPhos,3-chloropyridine,None,65.0220022
MTBD,t-BuXPhos,3-bromopyridine,None,98.03589777
MTBD,t-BuXPhos,3-iodopyridine,None,99.68653196
MTBD,t-BuXPhos,None,None,0.0
P2Et,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole,15.4176361
P2Et,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole,18.97417112
P2Et,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole,16.81589184
P2Et,t-BuXPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole,2.663355036
P2Et,t-BuXPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole,16.04854773
P2Et,t-BuXPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole,21.9766332
P2Et,t-BuXPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole,7.641917877999999
P2Et,t-BuXPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole,28.39231834
P2Et,t-BuXPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole,26.6748995
P2Et,t-BuXPhos,2-chloropyridine,5-phenylisoxazole,29.97543001
P2Et,t-BuXPhos,2-bromopyridine,5-phenylisoxazole,36.30636065
P2Et,t-BuXPhos,2-iodopyridine,5-phenylisoxazole,36.58798902
P2Et,t-BuXPhos,3-chloropyridine,5-phenylisoxazole,10.54082024
P2Et,t-BuXPhos,3-bromopyridine,5-phenylisoxazole,26.25688388
P2Et,t-BuXPhos,3-iodopyridine,5-phenylisoxazole,28.58964812
P2Et,t-BuXPhos,None,5-phenylisoxazole,0.0
BTMG,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole,16.88486051
BTMG,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole,41.29698409
BTMG,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole,43.73298112
BTMG,t-BuXPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole,0.655700656
BTMG,t-BuXPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole,33.62905648
BTMG,t-BuXPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole,41.48980841
BTMG,t-BuXPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole,2.599454304
BTMG,t-BuXPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole,66.02401389
BTMG,t-BuXPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole,72.39052533
BTMG,t-BuXPhos,2-chloropyridine,5-phenylisoxazole,68.84655406
BTMG,t-BuXPhos,2-bromopyridine,5-phenylisoxazole,82.1847816
BTMG,t-BuXPhos,2-iodopyridine,5-phenylisoxazole,80.58917239
BTMG,t-BuXPhos,3-chloropyridine,5-phenylisoxazole,15.19452071
BTMG,t-BuXPhos,3-bromopyridine,5-phenylisoxazole,83.87445444
BTMG,t-BuXPhos,3-iodopyridine,5-phenylisoxazole,86.003404
BTMG,t-BuXPhos,None,5-phenylisoxazole,0.0
MTBD,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole,30.01215681
MTBD,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole,51.39708789
MTBD,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole,50.13634297
MTBD,t-BuXPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole,2.9421738389999996
MTBD,t-BuXPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole,34.96324083
MTBD,t-BuXPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole,51.01008234
MTBD,t-BuXPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole,15.31942872
MTBD,t-BuXPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole,81.56943098
MTBD,t-BuXPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole,77.57371189
MTBD,t-BuXPhos,2-chloropyridine,5-phenylisoxazole,86.68959994
MTBD,t-BuXPhos,2-bromopyridine,5-phenylisoxazole,92.91423383
MTBD,t-BuXPhos,2-iodopyridine,5-phenylisoxazole,97.56849953
MTBD,t-BuXPhos,3-chloropyridine,5-phenylisoxazole,35.55504656
MTBD,t-BuXPhos,3-bromopyridine,5-phenylisoxazole,98.73132029
MTBD,t-BuXPhos,3-iodopyridine,5-phenylisoxazole,98.28722602
MTBD,t-BuXPhos,None,5-phenylisoxazole,0.0
P2Et,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,5.980979595
P2Et,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,50.58289676
P2Et,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,45.08048043
P2Et,t-BuXPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,0.0
P2Et,t-BuXPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,42.11946098
P2Et,t-BuXPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,49.11143206
P2Et,t-BuXPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate,0.705225291
P2Et,t-BuXPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate,70.86219062
P2Et,t-BuXPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate,66.44951759
P2Et,t-BuXPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate,65.93988128
P2Et,t-BuXPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate,66.07082051
P2Et,t-BuXPhos,2-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate,66.20793624
P2Et,t-BuXPhos,3-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate,6.110691586000001
P2Et,t-BuXPhos,3-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate,67.81850094
P2Et,t-BuXPhos,3-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate,72.63064909
P2Et,t-BuXPhos,None,ethyl-3-methylisoxazole-5-carboxylate,0.0
BTMG,t-BuXPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,7.837919121
BTMG,t-BuXPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,46.74711139
BTMG,t-BuXPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate,46.25838016
BTMG,t-BuXPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,0.0
BTMG,t-BuXPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,37.03037628
BTMG,t-BuXPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate,43.69560153
BTMG,t-BuXPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate,0.595872872
BTMG,t-BuXPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate,70.54955286
BTMG,t-BuXPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate,80.90409924
BTMG,t-BuXPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate,70.2055639
BTMG,t-BuXPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate,83.08846167
